Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steve Nash,PG,35,PHO,81,81,32.8,6.2,12.2,0.507,1.5,3.6,0.426,4.6,8.6,0.54,0.57,2.6,2.8,0.938,0.4,2.9,3.3,11,0.5,0.1,3.6,1.3,16.5
Dirk Nowitzki,PF,31,DAL,81,80,37.5,8.9,18.5,0.481,0.6,1.5,0.421,8.3,17,0.487,0.498,6.6,7.2,0.915,1,6.7,7.7,2.7,0.9,1,1.8,2.6,25
Chris Paul,PG,24,NOH,45,45,38,7,14.2,0.493,1.2,2.8,0.409,5.8,11.3,0.514,0.534,3.6,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7
Paul Pierce,SF,32,BOS,71,71,34,5.8,12.2,0.472,1.5,3.7,0.414,4.2,8.5,0.497,0.535,5.2,6.1,0.852,0.5,3.8,4.4,3.1,1.2,0.4,2.3,2.8,18.3
Zach Randolph,PF,28,MEM,81,81,37.7,8,16.5,0.488,0.2,0.6,0.288,7.9,15.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1,0.4,2.1,2.8,20.8
Rajon Rondo,PG,23,BOS,81,81,36.6,5.7,11.2,0.508,0.2,1,0.213,5.5,10.2,0.536,0.517,2.2,3.5,0.621,1.2,3.2,4.4,9.8,2.3,0.1,3,2.4,13.7
Derrick Rose,PG,21,CHI,78,78,36.8,8.6,17.6,0.489,0.2,0.8,0.267,8.4,16.8,0.5,0.495,3.3,4.3,0.766,0.8,2.9,3.8,6,0.7,0.3,2.8,1.2,20.8
Brandon Roy,SG,25,POR,65,65,37.2,7.6,16,0.473,1.1,3.4,0.33,6.4,12.6,0.512,0.508,5.3,6.8,0.78,1.1,3.3,4.4,4.7,0.9,0.2,2,2.1,21.5
Amar'e Stoudemire,PF,27,PHO,82,82,34.6,8.6,15.4,0.557,0,0.1,0.167,8.6,15.3,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1,0.6,1,2.6,3.4,23.1
Dwyane Wade,SG,28,MIA,77,77,36.3,9.3,19.6,0.476,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6
Gerald Wallace,SF,27,CHA,76,76,41,6,12.4,0.484,0.7,1.8,0.371,5.3,10.6,0.503,0.511,5.6,7.2,0.776,2,8.1,10,2.1,1.5,1.1,2.3,2.6,18.2
Deron Williams,PG,25,UTA,76,76,36.9,6.5,13.9,0.469,1.3,3.4,0.371,5.2,10.4,0.501,0.515,4.4,5.5,0.801,0.7,3.3,4,10.5,1.3,0.2,3.3,2.7,18.7
