Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ray Allen,SG,35,BOS,80,80,36.1,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5
Carmelo Anthony,SF,26,TOT,77,77,35.7,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6
Chris Bosh,PF,26,MIA,77,77,36.3,6.8,13.7,0.496,0.1,0.3,0.24,6.7,13.4,0.502,0.499,5,6.1,0.815,1.8,6.5,8.3,1.9,0.8,0.6,1.8,2.2,18.7
Kobe Bryant,SG,32,LAL,82,82,33.9,9,20,0.451,1.4,4.3,0.323,7.6,15.6,0.487,0.487,5.9,7.1,0.828,1,4.1,5.1,4.7,1.2,0.1,3,2.1,25.3
Tim Duncan,C,34,SAS,76,76,28.4,5.5,11,0.5,0,0.1,0,5.5,11,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4
Kevin Durant,SF,22,OKC,78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7
Kevin Garnett,PF,34,BOS,71,71,31.3,6.1,11.6,0.528,0,0.1,0.2,6.1,11.5,0.53,0.529,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9
Pau Gasol,C,30,LAL,82,82,37,7.2,13.7,0.529,0,0,0.333,7.2,13.6,0.53,0.53,4.3,5.2,0.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8
Manu Ginóbili,SG,33,SAS,80,79,30.3,5.5,12.7,0.433,1.9,5.5,0.349,3.6,7.2,0.497,0.509,4.5,5.1,0.871,0.5,3.2,3.7,4.9,1.5,0.4,2.2,2,17.4
Blake Griffin,PF,21,LAC,82,82,38,8.5,16.8,0.506,0.1,0.3,0.292,8.4,16.5,0.51,0.508,5.4,8.5,0.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,22.5
Al Horford,C,24,ATL,77,77,35.1,6.7,12,0.557,0,0.1,0.5,6.6,11.9,0.557,0.558,1.9,2.4,0.798,2.4,7,9.3,3.5,0.8,1,1.5,2.5,15.3
Dwight Howard,C,25,ORL,78,78,37.6,7.9,13.4,0.593,0,0.1,0,7.9,13.3,0.597,0.593,7,11.7,0.596,4,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9
LeBron James,SF,26,MIA,79,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1,6.5,7.5,7,1.6,0.6,3.6,2.1,26.7
Joe Johnson,SG,29,ATL,72,72,35.5,7.1,16.1,0.443,1.2,4.2,0.297,5.9,12,0.494,0.481,2.7,3.4,0.802,0.8,3.2,4,4.7,0.7,0.1,2,1.8,18.2
Kevin Love,PF,22,MIN,73,73,35.8,6.6,14.1,0.47,1.2,2.9,0.417,5.4,11.2,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2,20.2
Yao Ming,C,30,HOU,5,5,18.2,3.6,7.4,0.486,0,0,,3.6,7.4,0.486,0.486,3,3.2,0.938,1.4,4,5.4,0.8,0,1.6,1.4,2.6,10.2
